Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0,0,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,-4.3E-09,,,
0.008,0,-25.86373774,-23.18312702,-2.7E-09,8.16692171,-2.7E-09,-10.9818568,18.4847124,46.91404561,6.600363742,-2.7E-09,-3.093658156,-2.7E-09,2.536212014,-5.283984919,25.95062881,8.416261323,,,
0.016,0,-64.438685,-62.752723,3.6E-09,0.494721901,3.6E-09,-39.10930997,18.36235342,119.4842199,-3.134935101,3.6E-09,70.28870777,3.6E-09,-16.88926861,-31.37782559,54.93311827,7.133358185,,,
0.024,0,-49.06764797,-68.48076498,-1.7E-09,-30.59193719,-1.7E-09,-51.77009002,-21.2018583,59.60664015,-26.80533822,-1.7E-09,78.44986232,-1.7E-09,-39.81950781,-54.17169303,5.367454516,-28.53915954,,,
0.032,0,-37.80801487,-69.88711613,-2E-10,-22.86472296,-2E-10,-47.06258298,3.934180235,39.74569779,-13.53434952,-2E-10,-21.52711358,-2E-10,-29.6024255,-56.33436157,-5.934057261,-34.60730154,,,
0.04,0,-47.6645073,-78.82009278,1.6E-09,-26.76953058,1.6E-09,-62.25488278,7.675976222,118.1274946,-12.762196,1.6E-09,81.33456056,1.6E-09,-42.91374154,-73.43663557,32.37728669,-19.71509184,,,
0.048,0,-25.57386248,-81.2804957,-1.7E-09,-53.34804137,-1.7E-09,-75.49520107,-33.31931494,34.04634367,-16.41403855,-1.7E-09,33.86758042,-1.7E-09,-45.66365887,-77.94138513,-21.90430348,-46.85955681,,,
0.056,0,-44.70751588,-93.36698312,1.4E-09,-40.45325642,1.4E-09,-74.35954345,1.93873132,71.3948887,-5.059041284,1.4E-09,-18.38599458,1.4E-09,-41.34346168,-84.92049701,-2.395526054,-45.43211396,,,
0.064,0,-56.54160652,-76.55768942,-5E-10,-67.80247895,-5E-10,-78.5119596,-31.15434865,151.1100603,-45.68171684,-5E-10,229.7627401,-5E-10,-75.59707036,-113.7045424,30.44602311,-35.63909102,,,
0.072,0,-26.86763636,-63.71655845,-1E-10,-62.21531862,-1E-10,-66.15404182,-39.23823449,13.80029081,-23.59010032,-1E-10,48.1296109,-1E-10,-37.37327405,-81.69543973,-32.44363521,-47.33275058,,,
0.08,0,-28.56767148,-71.20211648,6E-10,-14.77979065,6E-10,-57.46875731,26.21238268,47.06964581,23.44522584,6E-10,-64.70052811,6E-10,-11.53405535,-60.68418055,0.101577596,-28.50491477,,,
0.088,0,-16.84808296,-57.89612094,-6E-10,-49.09256608,-6E-10,-75.18159871,-23.39539557,102.1526767,-15.05339091,-6E-10,158.3903862,-6E-10,-50.77026204,-92.56698422,14.88779804,-32.68289004,,,
0.096,0,-9.264091787,-72.03454446,6E-10,-44.74785721,6E-10,-71.25120384,-24.25331972,12.60436095,-3.467934286,6E-10,-7.613734247,6E-10,-26.96370975,-76.0984572,-31.66983528,-45.65764822,,,
0.104,0,-25.86023314,-82.9169907,-2E-10,-14.62711801,-2E-10,-57.91268893,16.09441372,82.54472679,5.122971912,-2E-10,22.81020372,-2E-10,-35.64291921,-73.83034722,5.465065688,-28.05003762,,,
0.112,0,-8.851843783,-27.62567151,1E-10,-37.14353638,1E-10,-55.90742677,-20.85168689,74.58184089,-15.62264652,1E-10,142.4509663,1E-10,-52.66449954,-82.75243248,0.216156165,-30.97306401,,,
0.12,0,-11.94093638,-27.83585838,2E-10,-33.82583395,2E-10,-57.52743119,-5.751794316,10.14291596,12.74430516,2E-10,-32.92903821,2E-10,-17.16610807,-56.43887418,-21.72665483,-33.159383,,,
0.128,0,-23.93351841,-68.84883557,-1E-10,-42.70158615,-1E-10,-72.37060986,-4.323337831,112.46386,-11.1357407,-1E-10,113.3187344,-1E-10,-50.13976424,-83.17679726,12.19409905,-31.10708368,,,
0.136,0,-4.223632862,-46.6649346,2E-10,-51.76687793,2E-10,-69.4520479,-30.35973536,43.150802,-22.22563626,2E-10,73.35790607,2E-10,-48.07710137,-87.56291391,-31.05894277,-50.26575371,,,
0.144,0,-20.21099582,-51.28901328,0,-25.39501671,0,-61.43592427,7.3505298,54.45377385,1.011134327,0,11.2330523,0,-28.14068384,-72.20947664,-7.470952698,-36.99483713,,,
0.152,0,6.840571558,-31.78867352,1E-10,-30.41372633,1E-10,-54.22640542,-3.829106235,81.13365572,-7.776068749,1E-10,185.2291225,1E-10,-31.47725274,-76.7172075,19.83226906,-21.46691561,,,
0.16,0,14.41370146,-19.46627107,1E-10,-23.14850886,1E-10,-52.34852729,-4.734484839,-13.81420369,22.94909988,1E-10,7.39441719,1E-10,8.41518327,-48.47185454,-14.56490995,-22.02654816,,,
0.168,0,-37.44828445,-64.60824681,0,-31.47420016,0,-75.47955509,-3.611034805,109.1051111,-0.106867891,0,111.2998499,0,-34.74683266,-82.6879719,21.73313972,-28.3981444,,,
0.176,0,-5.569324533,-50.24589648,1E-10,-56.70881664,1E-10,-65.6867523,-38.7020851,33.70771975,-23.76759002,1E-10,98.21545956,1E-10,-44.4574599,-89.70384813,-30.65551971,-51.32929057,,,
0.184,0,-11.18207725,-54.17220669,0,-31.99203691,0,-56.70280263,1.422080534,35.62518762,4.211592148,0,-22.44197871,0,-23.19695229,-61.74393628,-10.3689486,-30.9579306,,,
0.192,0,-12.83471772,-51.01798848,1E-10,-44.99366329,1E-10,-60.14313186,-15.2130908,96.64756948,-23.05411542,1E-10,145.0550998,1E-10,-50.79225282,-82.41099918,10.80973832,-35.77143115,,,
0.2,0,10.04481438,-29.66160227,1E-10,-30.27508143,1E-10,-44.8057217,-0.260872454,-26.99046307,-0.115194597,1E-10,-43.98519464,1E-10,-14.84093168,-55.53492879,-38.51161692,-43.07494765,,,
0.208,0,-18.64556401,-41.25070096,0,-8.181597352,0,-55.44440817,35.96568915,92.98382755,9.404027389,0,62.81476707,0,-24.46873599,-59.20987342,34.0392138,-11.00122381,,,
0.216,0,12.26786856,-33.62060517,1E-10,-37.83732643,1E-10,-52.92334898,-12.68144998,32.87297846,-8.765140441,1E-10,82.31563606,1E-10,-24.99173287,-61.78333485,-9.022528757,-29.49292851,,,
