Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
716.7599995,2799,-580.1429383,-1.65E-07,-90.69690794,28.89914055,-106.1243936,0.22970609,-373.3367697,42.75184029,-43.27657635,79.57750538,64.42493509,0,-49.07802819,67.81295378,-193.1821638,41.91821121
716.7679995,2799,75.56518613,-1.65E-07,102.5841061,41.4528644,17.22611842,-38.94315355,-255.2476879,-23.398443,19.33368698,79.14692809,-356.3449021,0,-0.545166066,79.46854563,-332.1226855,32.41423842
716.7759995,2799,76.23649574,-1.64E-07,-59.19043653,18.76510602,-69.73157179,-35.43992482,-353.6145208,-17.94268099,-42.92437303,33.41679023,613.2387662,0,-53.16531414,-0.890026629,99.46215685,105.0552755
716.7839995,2799,-586.2051651,-1.63E-07,24.28741852,41.02686638,-58.50620939,-21.20715889,-362.0894153,28.22536853,-1.074547958,117.9830835,-539.7662624,0,-16.50221229,107.8632909,-455.3840169,1.046532243
716.7919995,2799,500.8229318,-1.63E-07,58.73138938,31.57168693,8.613215415,-54.61966139,-283.8927408,-45.40233611,14.14053316,50.56766054,318.4503857,0,-19.39030285,22.65897948,-25.36156247,75.04740035
716.7999995,2800,-584.8134878,-1.62E-07,-102.5738532,18.92983538,-109.8166172,-9.833537647,-403.9227492,38.15125874,-41.13484131,64.88168426,45.68291961,0,-62.1932195,52.08931129,-205.4365451,33.42873448
716.8079995,2800,71.22898976,-1.62E-07,98.07156503,32.05960418,17.08260685,-39.65589582,-267.8836619,-15.5605138,30.52634953,77.66793807,-373.0157359,0,-9.570693703,76.97493368,-348.7829222,15.56465685
716.8159995,2800,63.05400402,-1.61E-07,-71.33223766,10.30370073,-64.01378419,-26.28910931,-344.2487607,1.774876016,-23.12638889,37.28788194,593.4958447,0,-55.31007978,16.71887811,76.42784509,80.45780044
716.8239995,2800,-597.7517855,-1.61E-07,10.64896419,34.89445988,-49.71753238,-7.985943061,-329.2435253,50.27812273,12.42076689,114.7584968,-559.976472,0,-17.64256012,123.1189048,-471.87369,-21.74918495
716.8319995,2800,494.6891564,-1.60E-07,56.85159491,34.01621583,13.79103954,-44.49017962,-240.1525437,-35.91590818,16.1770944,52.08706692,307.0847277,0,-18.58952917,28.85399185,-25.19145839,61.06832731
716.8399995,2800,-591.7565709,-1.60E-07,-94.92014107,18.02102901,-109.722611,-8.71817623,-368.4550324,35.2739604,-43.61457059,69.33713606,43.87614604,0,-62.0045851,54.70468942,-195.3811895,28.95022681
716.8479995,2800,72.0818145,-1.59E-07,98.36060579,26.7769214,9.152342023,-45.06504856,-245.7829389,-24.18222028,29.95613702,76.46391193,-362.9727712,0,-11.41308529,71.47083528,-339.0765524,14.96736004
716.8559995,2800,74.29815691,-1.59E-07,-78.38015431,7.842127107,-80.98066733,-35.24105901,-336.0498077,-15.77652844,-34.94642964,20.22133935,610.4774351,0,-70.00666595,-5.985384492,91.02446682,87.45607555
716.8639995,2800,-586.7555459,-1.58E-07,14.98550817,26.90977514,-68.14965521,-20.61119166,-337.7895512,33.71486042,-3.36392479,85.22392595,-535.772405,0,-41.29730139,94.79238598,-450.6535657,-7.775987904
716.8719995,2800,490.1146168,-1.57E-07,69.57020918,26.11729228,0.883449368,-53.19200264,-252.7893715,-32.83808089,24.34627157,38.42098869,323.3768024,0,-23.49975467,23.00876174,-24.51347616,60.6939765
716.8799995,2800,-594.2680418,-1.57E-07,-86.2202883,24.14168319,-112.7937612,-10.38673091,-358.7218143,44.99584154,-27.65595955,68.35597359,49.69321615,0,-55.42239045,60.58843224,-203.9887675,22.16093448
716.8879995,2800,77.6838435,-1.56E-07,100.2583462,36.91494833,14.714469,-47.22847258,-208.9470156,-23.77111202,30.89987599,67.50121964,-350.4447448,0,-12.98293652,61.3142314,-326.7099933,20.92148564
716.8959995,2800,69.20618716,-1.56E-07,-86.35875944,10.88398329,-72.92020791,-38.5253737,-285.761347,-16.07457128,-32.6353052,18.70195293,609.85615,0,-65.52639345,-13.62867041,99.79963686,90.51655913
716.9039995,2800,-589.6877842,-1.55E-07,-3.584323788,29.00760687,-58.44266738,-23.36509252,-288.9972809,28.07484388,3.673724541,89.23440203,-546.0051826,0,-32.58743565,97.73620191,-446.767915,-8.193554748
716.9119995,2800,491.8644152,-1.55E-07,47.15130836,29.34122459,11.5516657,-58.95635198,-221.4782111,-47.59273131,24.11673869,27.97328922,317.6000259,0,-24.68514883,20.68460145,-14.66652388,64.68161863
716.9199995,2800,-600.4730674,-1.54E-07,-103.833336,20.37846378,-106.3830938,-19.20897505,-356.7649743,32.96152927,-22.04238356,56.11327054,35.04748435,0,-51.67879012,65.79631192,-209.9672645,18.03353915
716.9279995,2800,57.05004338,-1.53E-07,95.73316183,30.70770262,16.40579174,-56.76993419,-239.1398984,-26.36438131,50.92061674,62.57073659,-370.1485579,0,2.930312466,78.62821402,-351.7812272,2.038497642
716.9359995,2800,47.90562424,-1.53E-07,-74.65436547,11.66022521,-71.94637808,-48.55179213,-326.1934417,-15.18240386,-8.487031597,15.24759593,595.9967597,0,-47.4001932,-1.139581139,67.33549146,65.18812189
716.9439995,2800,-594.645643,-1.52E-07,11.63381084,22.08303081,-59.76341791,-38.33629018,-320.3187165,19.49375736,21.50623216,85.79747165,-546.1884564,0,-20.71904113,95.95453114,-472.2654772,-28.71321315
716.9519995,2800,474.3417259,-1.52E-07,57.79275065,7.617658926,5.696961363,-76.65531247,-259.1857909,-55.96596857,25.88915429,20.86926166,313.8630111,0,-23.46473699,6.351811022,-33.52011038,45.68038771
716.9599995,2800,-624.6252036,-1.51E-07,-97.89108033,3.269556401,-114.422934,-33.05104025,-417.9893147,26.07398396,-29.07809056,45.15826518,16.33166707,0,-53.94697381,50.47808418,-240.7691198,-9.543927521
716.9679995,2800,39.35508984,-1.51E-07,96.18742908,17.65053052,7.480130211,-70.09491558,-343.9627202,-44.1405127,38.37316449,44.06775946,-388.8348592,0,-4.267029984,62.73443275,-394.5687868,-29.71090337
716.9759995,2800,16.15071581,-1.50E-07,-70.65642911,-2.900234148,-82.34363185,-59.73942263,-493.9453134,-33.66165573,-20.80505267,-13.01398902,565.6899154,0,-55.73953091,-16.22613826,9.911463423,29.23040369
716.9839995,2800,-617.7781855,-1.49E-07,18.38281563,16.35166919,-77.31966844,-46.10411554,-543.2979293,-0.801292954,30.63641839,62.20129305,-584.1092314,0,-14.9926135,92.86057082,-553.4456638,-76.33093357
716.9919995,2800,466.251846,-1.49E-07,55.93397552,2.762857501,-21.87919816,-89.0661388,-522.6244087,-85.09578477,32.73643712,0.032375333,295.2285152,0,-21.03055865,-0.387082794,-116.725452,3.91632446
716.9999995,2800,-632.8390698,-1.48E-07,-99.0691248,-5.107263094,-143.2133406,-46.07799209,-697.6768928,9.52924532,-29.62224797,24.97649963,6.994998926,0,-61.56151188,36.54585216,-320.0907115,-42.05209981
