Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3
138.4239999,540,148.5731675,-789.8178572,56.69166652,102.7172397,-134.8711004,-558.5508111,-101.78659,69.77177096,-80.7639539,-138.615639,-39.41094877,-5.291818374,282.7808623,-75.20168024,0,1563.19105,0.002757104,0.001692079,-0.002561883
138.4319999,540,159.0220544,-997.2761811,66.55332502,113.223298,-72.99716274,-491.7784872,-81.25571312,99.40261626,-43.84640587,-90.75274529,-238.7772179,-58.8512806,334.8296381,-24.45767437,0,1661.96766,0.004175233,0.000257765,-0.00242935
138.4399999,540,195.0772744,-766.0629394,29.922502,101.8853489,-82.13297333,-602.6541756,-103.465926,62.40368465,-63.58103761,-134.5392339,71.21985407,-40.75590669,327.312705,-69.78963706,0,1621.054082,0.004064271,0.000356952,-0.00222632
138.4479999,540,94.70558978,-919.4141882,42.17829808,143.7684171,-161.0754864,-443.7826153,-100.9147323,118.0507171,-75.20064085,-126.4297345,-195.7283554,-9.946363245,289.6548796,-63.8073654,0,1636.236624,0.003491039,0.000787424,-0.002380544
138.4559999,540,217.659427,-900.301235,61.13866961,110.7832039,-58.49454357,-544.6782815,-101.8327686,81.36376204,-47.75407164,-114.1935774,-71.91037885,-73.94185636,298.6637403,-53.80243039,0,1722.615073,0.003993338,0.000304253,-0.002124757
138.4639999,540,146.9222568,-811.0526848,61.68322178,124.7159524,-145.1176851,-543.6393816,-101.2836178,51.30599853,-37.4853848,-80.91311339,-0.862696193,-0.545612134,353.4695751,-23.07980522,0,1593.113783,0.001879669,-0.00198245,-0.000449927
138.4719999,540,114.2308526,-1002.58029,49.87256616,143.1253436,-90.24374563,-461.2385252,-100.7550024,93.77958558,-36.16941243,-87.58476451,-222.9162374,-58.33854814,326.2610974,-34.03148881,0,1698.75568,-0.000884602,-0.006223204,0.002411979
138.4799999,540,151.2121781,-769.7140416,23.06476358,120.8780945,-88.64668862,-570.9367763,-117.4211478,57.49407553,-70.56209781,-143.6225585,56.73585817,-44.92014149,279.6276239,-89.46696787,0,1668.692836,-0.000450516,-0.005785639,0.002161127
138.4879999,540,58.5293178,-935.7525758,43.00352377,148.1746584,-159.7907235,-428.7116312,-96.30799325,98.59874555,-79.59260852,-111.7536629,-208.4455611,-19.56723216,334.3722114,-56.33892132,0,1667.090673,4.40E-05,-0.004477872,0.00138997
138.4959999,541,147.3672377,-891.4578089,32.54788527,124.868671,-78.17810792,-509.1176097,-106.311492,82.29460978,-66.65279228,-138.5345227,-73.71742927,-80.36547172,300.9318772,-89.4354638,0,1754.488843,-0.000577235,-0.005784065,0.00228487
138.5039999,541,68.17993363,-781.7207613,7.939408342,141.4960419,-180.1362573,-481.6278843,-118.0849558,75.22808976,-77.72351309,-130.4625776,-30.30178721,-6.434051681,283.4266482,-80.05790111,0,1654.21497,0.003236367,-0.003146881,0.002613003
138.5119999,541,81.97136665,-978.6350546,26.97071454,143.4421328,-119.2977703,-405.7770153,-100.6970588,111.2745317,-85.33885195,-119.4191208,-270.6246907,-69.31624743,301.3795269,-68.66865556,0,1782.133348,0.008734071,-0.00046567,0.004129449
138.5199999,541,145.137208,-754.457506,38.27694817,118.3239484,-116.2987175,-531.8701607,-107.1074932,62.01898919,-81.93898317,-145.7069992,31.56521583,-52.19706102,273.331451,-97.91139361,0,1739.522493,0.00784712,-0.001071956,0.004157908
138.5279999,541,45.94188243,-928.5277746,46.71099567,150.4029564,-177.0626415,-403.3484763,-99.29750017,92.05606719,-59.98916665,-88.40618292,-214.5220261,-18.5792228,324.7367128,-34.21048014,0,1713.201899,0.006576314,-0.001236473,0.003461486
138.5359999,541,136.6597713,-884.5218913,24.28217274,124.9722993,-80.1555401,-485.7542152,-116.8778655,73.19376064,-72.85209112,-128.2444534,-86.77332923,-83.67790487,306.2260768,-77.76380759,0,1797.378759,0.007882621,-0.000878755,0.00415412
138.5439999,541,89.92397793,-783.9082139,37.22881934,136.9318046,-176.4819425,-471.6088208,-118.4682067,55.48292379,-77.68040164,-121.7373626,-38.39194155,-20.78380037,299.2807774,-80.78886978,0,1693.086999,0.003467941,-0.001066201,0.004568828
138.5519999,541,116.8777378,-990.8072577,68.99789878,142.2908143,-111.568564,-417.9580012,-99.57323896,74.12113595,-39.76793634,-75.09864166,-246.6991586,-81.62564587,352.1576286,-34.82060734,0,1786.747426,-0.002022033,-0.001021152,0.006040898
138.5599999,541,150.0640191,-755.7367218,41.05536941,127.1219051,-107.5682559,-532.1807263,-115.1340639,32.95103333,-57.52878958,-109.8793848,46.60052738,-60.49689104,317.8972713,-67.59213447,0,1732.790483,-0.001069666,-0.000899963,0.00599852
138.5679999,541,41.58118348,-915.1755291,32.45450131,162.2611356,-173.7856621,-386.3651148,-101.5595234,79.86874163,-84.92472694,-91.93971788,-226.0401308,-26.59717493,312.1460456,-49.57775288,0,1736.565086,-0.000191489,-0.001020958,0.005345369
138.5759999,541,145.250482,-876.0537225,25.2605903,134.9563105,-74.89157405,-479.2007259,-105.821356,59.33621892,-74.71795709,-111.9634243,-90.03306176,-83.92931859,324.5737565,-77.94785478,0,1824.956223,-0.001334988,-0.000888254,0.005957232
138.5839999,541,85.69935358,-766.4388009,28.5521708,155.3999864,-175.773207,-455.2843497,-105.8453165,56.21011341,-67.07167513,-100.7565219,-41.73954414,-14.16806979,333.6990553,-67.34718272,0,1718.769381,-0.002341918,-0.001780719,0.005514923
138.5919999,541,86.16660116,-943.929393,22.60738157,163.8041876,-142.0536723,-371.8477608,-100.2480014,103.4972654,-78.5973739,-104.5191194,-263.9682754,-74.0135238,277.7672141,-69.74625227,0,1842.974666,-0.005260025,-0.003159288,0.005573649
138.5999999,541,111.6092474,-702.7405647,-14.40333805,134.2290966,-161.8229594,-471.5584212,-131.7674555,70.58536442,-102.5883314,-161.0914646,9.55257896,-60.93798815,248.9721773,-132.4682431,0,1813.075628,-0.005170847,-0.002912551,0.005667294
138.6079999,541,24.70411786,-864.1483562,9.499489303,160.0603807,-224.1913367,-323.2906715,-116.0171918,117.363319,-95.99034364,-126.8219838,-274.7299129,-38.65445313,325.9564497,-96.07602161,0,1819.07209,-0.003976765,-0.002572534,0.005396085
138.6159999,541,155.8172482,-833.4188272,39.33978637,124.2492274,-101.981264,-432.4974711,-105.4112483,83.69912877,-82.27398539,-116.8775875,-122.3206236,-97.22220101,300.8893722,-92.86891884,0,1896.502832,-0.005119825,-0.002885725,0.005580118
138.6239999,541,89.52539261,-736.7635803,45.36150658,139.2263442,-177.7377879,-419.1861351,-108.8094634,66.08775777,-67.07316088,-94.50084868,-58.92025574,-22.76774962,302.3762789,-74.76614821,0,1775.081951,-0.006933389,-4.14E-05,0.00368215
138.6319999,541,92.39278411,-921.2013674,46.34580731,154.0204672,-124.1550549,-344.6375473,-101.0729433,101.5456332,-43.92419053,-80.42954678,-275.2197538,-81.30628733,337.9786099,-57.87103601,0,1876.980653,-0.01118643,0.004132913,0.000907927
138.6399999,541,151.1315118,-695.1582832,47.69290825,131.6157861,-121.263297,-469.6069678,-109.4909526,49.81617879,-58.0120806,-105.262594,18.010956,-63.74801228,318.6793814,-86.11574044,0,1818.623752,-0.010879015,0.003545698,0.001267115
138.6479999,541,51.17123118,-848.6341205,57.60948839,167.7584079,-183.4679886,-321.707233,-98.40515406,100.5169645,-53.41895606,-80.5054524,-240.4840466,-31.11976053,346.5002201,-58.60394893,0,1811.034452,-0.009229726,0.002593298,0.001915801
138.6559999,541,122.0509977,-785.6864838,29.6457242,142.985299,-98.57433051,-394.248787,-115.9184361,96.03383108,-45.1524204,-112.1565685,-99.5571427,-84.02927007,317.374236,-94.36366165,0,1903.126967,-0.010742153,0.003653454,0.001194163
138.6639999,541,46.50649189,-679.4897104,43.46666227,149.3075979,-198.5704204,-362.4158883,-121.4411669,91.61989572,-58.79062328,-112.6419824,-69.79482166,-11.83016712,284.8401751,-94.52614456,0,1810.317789,-0.009611456,0.002948814,0.003371912
138.6719999,541,74.57265048,-866.2894416,65.46200195,146.1520005,-141.2307007,-298.0496166,-104.278772,122.0904109,-40.59868118,-89.66702497,-285.2408537,-72.79846152,322.2839788,-67.66757498,0,1917.199879,-0.00970302,0.003047634,0.006094851
138.6799999,541,128.3284132,-639.6946793,45.15708318,120.6554805,-137.2962022,-415.4343514,-120.657491,74.50919373,-40.22487706,-110.1320248,17.08678821,-54.37395879,321.1050459,-95.79583164,0,1859.130407,-0.009937359,0.003273741,0.005559055
138.6879999,541,43.23086298,-804.2118528,70.49897957,155.1792493,-188.6179877,-271.7504398,-105.9072844,115.7390084,-24.14149814,-69.4729208,-239.1738375,-25.30133892,316.3731902,-52.91374751,0,1854.797276,-0.009206205,0.002824763,0.005108551
138.6959999,541,134.4365773,-748.3800978,55.70379045,131.9499715,-92.27567738,-357.6622928,-111.8606369,98.30066872,-23.03046351,-90.18460889,-90.10881608,-82.74228671,308.3919643,-71.87328063,0,1931.385215,-0.009644307,0.003165587,0.005628704
138.7039999,541,37.84925882,-636.7894378,38.42448395,150.5374699,-190.2362053,-309.2148767,-125.9590792,104.0592888,-60.07694287,-107.1627587,-57.18180946,-12.88769198,304.9048654,-92.1839499,0,1833.66972,-0.007452944,0.000334848,0.006104772
138.7119999,541,49.56589548,-812.7755972,57.86121221,156.0511947,-131.9587812,-228.7910314,-112.4198353,144.5002016,-39.35031284,-88.52260258,-266.658541,-71.51061722,294.5205746,-72.49727727,0,1955.714642,-0.004646904,-0.003824059,0.007530578
138.7199999,541,113.1994174,-587.3021928,55.12450312,129.7983472,-132.0742072,-346.5390401,-119.1154533,94.66135731,-26.82253609,-100.5452247,29.13866425,-49.48616143,273.335351,-84.44545845,0,1903.721878,-0.004984132,-0.003228801,0.00744624
138.7279999,541,33.74887087,-758.791244,75.34443357,160.0621389,-186.3337559,-206.4166592,-105.896634,130.5779032,-21.65095031,-59.35886549,-236.5379688,-23.30261503,313.9359376,-40.89497083,0,1891.116368,-0.005429165,-0.002266414,0.006822659
138.7359999,541,132.8314661,-701.6245595,72.14828203,136.511981,-92.70594787,-295.4487734,-113.0783269,110.9299109,-28.04460306,-83.6569335,-76.78586327,-78.10870779,296.1136341,-63.18084448,0,1968.83343,-0.004741591,-0.003304034,0.007355275
138.7439999,541,32.93017323,-589.3279164,55.96136687,159.6864691,-190.1501832,-248.9238173,-122.1697863,118.8430611,-42.81134482,-88.22748793,-28.09988301,-4.402598399,282.1000263,-64.01982733,0,1868.865834,-0.00589483,-2.52E-05,0.003503866
138.7519999,542,20.84130149,-757.3281999,50.87699586,165.5626357,-137.6265286,-162.1984598,-108.9464609,168.3482228,-33.86885234,-85.28256215,-246.1249521,-63.78581623,280.1713806,-59.72162146,0,1987.599407,-0.007176158,0.004078934,-0.002053557
138.7599999,542,81.16794481,-530.8796368,53.36920341,130.5508645,-144.0328129,-277.8000683,-115.1708121,120.6139436,-46.24734935,-121.0182091,29.44333843,-46.19597217,221.6410511,-100.550419,0,1944.422502,-0.006747614,0.003304601,-0.001241485
138.7679999,542,-4.556053903,-699.0056204,62.9214131,156.3684095,-189.4179357,-138.1408746,-108.419799,155.7953899,-33.85662186,-74.97853823,-225.331819,-26.6795912,257.0332117,-56.91662442,0,1932.444732,-0.00656146,0.00263992,-1.67E-05
