Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
764.0399995,2984,7.831313794,-45.50737972,42.22414406,59.61502743,-14.3188125,323.0176425,-251.7394945,4560.239966,172.7341315,72.44409973,-55.30574454,-294.502089,-62.54048664,21.42004154,0,-655.8776356,1111,,,
764.0479995,2984,58.23394461,177.6255471,44.98606898,45.52402225,5.642165701,159.6749644,-260.5138794,4501.677099,187.7830247,62.63408156,106.2913003,-267.2334172,-73.16613232,7.378769941,0,-700.8627349,,,,
764.0559995,2984,-39.07040611,17.43268364,31.21661434,66.50227494,-47.7238975,308.39131,-256.6565593,4552.791954,157.6120665,62.29234668,-21.6139545,-247.3285978,-72.62219922,10.83992158,0,-755.1435509,,,,
764.0639995,2984,41.44021174,83.51136865,44.18914366,32.78148743,26.08794986,230.5873236,-264.1819133,4540.652253,163.8403602,50.30893996,45.04659769,-307.9321912,-69.4175191,0.611712487,0,-642.3128924,,,,
764.0719995,2984,-1.387607156,157.9282982,26.65011252,51.24562587,-40.92724606,228.442038,-265.9191459,4538.923165,157.8809849,46.89931305,54.06187425,-226.5845941,-83.21122239,-4.050508196,0,-774.9221365,,,,
764.0799995,2984,-2.579920729,-6.831974739,45.79815682,57.56089602,-11.18956259,357.2342676,-257.1348763,4613.110161,157.5884438,58.86460039,-44.31506196,-281.2139027,-85.19643438,7.823643433,0,-646.9985538,,,,
764.0879995,2984,48.97372304,179.3411985,51.96257076,36.07207754,6.303059334,194.4481287,-266.6249521,4553.232345,168.285097,52.66726809,113.9969624,-259.3456786,-95.41028204,-2.689412612,0,-684.54811,,,,
764.0959995,2984,-20.27852362,-2.892640084,46.99655818,63.76792463,-40.89292634,347.6145743,-248.7349672,4607.282276,159.9045188,73.41006125,-21.10256887,-239.3591183,-86.40899339,19.94190514,0,-736.898434,,,,
764.1039995,2984,58.82461957,67.60838132,53.19544725,29.4578222,30.69436931,280.4452569,-256.7611691,4607.860617,172.1315919,68.8139159,63.96313677,-299.1718104,-82.39079898,14.61101513,0,-622.8957795,,,,
764.1119995,2984,5.462397238,136.5489369,28.3036117,28.10887767,-43.91340146,282.01344,-264.0306075,4607.083466,147.7220496,50.05418783,73.3715898,-227.0725139,-103.1693325,-2.706924552,0,-747.1989368,,,,
