Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
792.5999994,3096,0,152.7512855,0,390.2718335,54.9225527,18.28511032,768.5983553,137.3519814,-31.47633965,31.9246922,-328.6843942,0,-137.8859152,-44.7512916,0,0
792.6079994,3096,0,506.4356393,0,529.7058256,-57.20769773,-68.14479587,766.1005203,40.23441426,-34.65495297,25.72977774,152.0083624,0,49.34631448,-10.2695288,0,0
792.6159994,3096,0,155.940254,0,372.2688242,75.9993244,78.67692892,763.5945536,184.3356027,-37.8203849,40.6988381,-108.0740363,0,-66.54556187,-28.11260978,0,0
792.6239994,3096,0,362.395486,0,506.6533492,-42.31468786,-84.73149062,761.0805425,25.39000717,-40.9726069,43.86619504,-179.6669944,0,-55.19910729,-32.51001601,0,0
792.6319994,3096,0,364.6226412,0,470.2688403,-24.07951619,5.331488411,758.5585744,103.4041433,-44.11159092,22.02393808,217.1260332,0,69.27669032,0.203844488,0,0
792.6399994,3096,0,140.6764065,0,403.3173795,42.65214067,10.84009269,756.0287366,117.2589281,-47.23730932,37.4680336,-343.2828655,0,-123.6437904,-44.73229582,0,0
792.6479994,3096,0,492.8017559,0,546.0512327,-81.86684917,-95.3569623,753.491116,9.379315731,-50.34973487,26.42038659,153.3706387,0,71.75141023,-4.061649413,0,0
792.6559994,3096,0,141.8999314,0,391.3450029,47.96257093,47.52697755,750.9457998,154.7266724,-53.44884083,26.18889475,-105.9078578,0,-47.91448535,-22.8826512,0,0
792.6639994,3096,0,348.3942519,0,512.1767609,-50.64358321,-102.5322712,748.3928748,7.707115264,-56.53460087,27.45535654,-184.2674316,0,-49.73534439,-37.39815412,0,0
792.6719994,3096,0,351.6038639,0,472.8672646,-17.59518092,-6.197383893,745.8324277,92.99949672,-59.60698908,16.76171878,224.4938955,0,72.66331816,-9.578233054,0,0
792.6799994,3096,0,125.2268245,0,419.9631352,44.02868287,-3.772342046,743.2645453,106.3542791,-62.66597998,32.7837022,-333.3378293,0,-119.8199934,-56.3423068,0,0
792.6879994,3096,0,468.3928627,0,555.6230531,-74.24824967,-97.11957518,740.6893139,6.732982122,-65.71154857,21.79857152,154.8419791,0,69.76749084,-20.53614546,0,0
792.6959994,3096,0,101.9264431,0,378.3394002,73.07715597,68.57577788,738.1068201,169.0684245,-68.74367022,33.80344055,-107.9371672,0,-51.81847596,-41.49723324,0,0
792.7039994,3096,0,294.607323,0,488.1578886,-24.14167258,-72.70165897,735.51715,29.28409393,-71.76232076,44.14629093,-203.6251952,0,-55.89627076,-57.36825364,0,0
792.7119994,3096,0,300.1929455,0,451.8330673,-8.860819688,13.87161366,732.9203899,97.7049165,-74.76747644,33.54808572,194.1793177,0,65.3265782,-21.11284861,0,0
792.7199994,3096,0,90.98631752,0,410.1810872,34.79836505,0.323261043,730.3166257,88.39916184,-77.75911394,38.02804101,-354.5892106,0,-125.6882488,-51.43991198,0,0
792.7279994,3096,0,448.4640875,0,548.2363449,-75.51951819,-86.37425831,727.7059433,-4.230363785,-80.73721038,13.3300535,137.476673,0,63.35636688,-10.89797617,0,0
792.7359994,3096,0,85.87490393,0,372.9783606,75.82999903,84.63704002,725.0884286,163.6690884,-83.70174328,27.47855663,-123.7665423,0,-56.36886342,-26.95536605,0,0
792.7439994,3096,0,286.617082,0,515.9354231,-40.81723874,-80.06829678,722.464167,4.571884419,-86.65269059,36.46666063,-204.9536526,0,-54.27467668,-30.09689951,0,0
792.7519994,3096,0,286.916493,0,487.6583015,-5.638290559,23.84809767,719.8332442,98.25574438,-89.59003071,20.45026016,197.6749361,0,67.40911965,2.932043276,0,0
792.7599994,3096,0,69.0731665,0,429.3791623,45.88799979,28.39531205,717.1957454,108.6135334,-92.51374242,41.39711903,-361.9381966,0,-126.5270289,-38.3728424,0,0
792.7679994,3096,0,446.4006811,0,601.0420678,-114.3216509,-104.4501359,714.5517559,-36.17029167,-95.42380495,18.57719112,143.4275349,0,72.76916594,6.950625059,0,0
792.7759994,3096,0,83.26038545,0,428.14708,40.05765698,61.8699854,711.9013608,122.4782362,-98.32019795,11.66452326,-107.9005497,0,-41.21695621,-13.31883066,0,0
792.7839994,3096,0,275.1677694,0,530.2502487,-48.14511952,-84.2906869,709.2446449,-10.24090098,-101.2029015,20.90055458,-211.2662859,0,-49.65100206,-36.21605749,0,0
792.7919994,3096,0,286.1531537,0,493.311544,-19.22007353,3.664395397,706.5816931,76.21079771,-104.071896,4.35561033,190.2690256,0,73.08143121,-9.205219104,0,0
792.7999994,3096,0,50.25696987,0,402.8797259,68.6431149,36.16610944,703.91259,112.8466543,-106.9271624,28.24645245,-366.6826748,0,-117.4618347,-58.19102764,0,0
792.8079994,3096,0,416.3587404,0,552.7321001,-73.30643522,-83.27299555,701.2374201,-10.20326887,-109.7686821,25.29614158,126.8968191,0,73.66786543,-22.35315449,0,0
792.8159994,3096,0,66.20695372,0,402.4361641,47.24924327,54.69124432,698.5562677,129.5053409,-112.5964366,9.77509949,-111.3831394,0,-39.70367757,-35.36103656,0,0
792.8239994,3096,0,255.0268983,0,503.3248428,-39.67984893,-84.25985787,695.8692171,-7.770955686,-115.4104083,12.27926491,-206.7148487,0,-44.763141,-53.76351253,0,0
792.8319994,3097,0,274.6187885,0,486.1503055,-29.22360443,-13.593958,693.1763523,52.53739777,-118.2105796,-0.055291313,196.8080524,0,80.94616574,-20.0478211,0,0
792.8399994,3097,0,55.49156673,0,430.7933044,31.42327829,-5.708634161,690.4777572,66.63938741,-120.9969335,0.94929897,-345.5857388,0,-102.8873231,-60.52634171,0,0
792.8479994,3097,0,413.6154932,0,554.0383219,-71.27147744,-85.11513569,687.7735156,-23.07941158,-123.7694533,0.554302152,142.4694842,0,85.40155544,-35.30439095,0,0
792.8559994,3097,0,57.53623771,0,385.8386268,64.10116773,68.02386947,685.063711,128.340937,-126.5281229,18.23097174,-106.8667741,0,-28.63928586,-52.63019027,0,0
792.8639994,3097,0,249.0982527,0,500.4090603,-46.37789363,-86.3766948,682.3484268,-17.64731776,-129.2729264,21.68334126,-193.8468152,0,-26.04441395,-58.03730314,0,0
792.8719994,3097,0,262.5922296,0,468.2435583,-23.18926577,1.422891735,679.6277463,59.62228921,-132.0038484,5.970024435,208.3788345,0,93.16658243,-23.10716371,0,0
792.8799994,3097,0,36.14207104,0,398.6665795,47.46829732,14.6288981,676.9017527,78.41948405,-134.720874,18.10575131,-352.1065123,0,-104.3209037,-64.7568918,0,0
792.8879994,3097,0,384.6844691,0,513.9655091,-64.07791428,-67.52556412,674.1705288,-7.664046204,-137.4239886,5.792549265,125.0455716,0,78.80625909,-31.42122131,0,0
