Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
526.9599996,2058,-313.5651635,-54.01031872,-38.50648614,3.008894601,-2.672395225,6.804623574,90.68133187,-116.7000826,-307.8672553,-17.77835884,-6.300940598,-182.7944476,0,-170.0016262,-399.6912266,0,-0.007157864,-0.004604888,0.028943198,1111
526.9679996,2058,-71.0604703,-33.19851652,41.09723606,-42.54691017,-22.36636795,-67.55014405,175.312044,241.3328062,205.8949906,10.2727837,-78.38517479,74.86501682,0,99.27437342,308.1903498,0,-0.007555873,-0.001278454,0.026255195,
526.9759996,2058,-148.7695332,-9.113497299,-65.65863606,-4.510681618,-55.0784746,31.42234442,-175.3252295,-404.2756315,-103.6337408,-25.14656965,-16.65469618,-83.090775,0,-76.75808687,77.33798688,0,-0.008985896,0.00277334,0.023186931,
526.9839996,2058,-245.7539416,-58.83253344,25.76640407,-15.32018344,19.08336502,-53.50432892,302.3398315,270.4838847,-122.8188171,6.112695022,-42.45617208,-88.58068123,0,-68.98978378,-242.3283457,0,-0.00891326,0.001971734,0.02330893,
526.9919996,2058,5.80484097,18.18747393,-14.58369459,-29.13651392,-57.16048252,7.851938303,-110.9504964,-163.9349368,219.7914443,6.091343936,-51.73749469,92.23881432,0,106.2619655,514.7707695,0,-0.008230346,0.001325175,0.023333197,
526.9999996,2058,-288.8549134,-37.99698299,-37.14107408,9.970339604,3.578319758,13.00041924,85.84023731,-121.0090824,-298.7286681,-7.708978283,13.20756921,-172.9627474,0,-160.5642895,-394.9459647,0,-0.008804329,0.002053329,0.022461359,
527.0079996,2058,-57.20741791,-31.64410025,40.56191677,-48.90497517,-17.42974338,-74.39859088,180.6157838,263.9822,205.4129111,8.846198363,-74.34524664,81.73816453,0,99.68410919,311.0909008,0,-0.005755509,0.004113632,0.022399303,
527.0159996,2058,-129.2714045,-1.043594228,-71.38774489,-12.13717793,-50.99464043,27.46694673,-189.8739493,-392.6440803,-94.70486181,-33.42696019,-18.00409036,-76.43417533,0,-62.22326294,102.2134714,0,-0.001604934,0.008289142,0.022007572,
527.0239996,2058,-237.4184729,-53.90097683,24.76820965,-15.04601617,22.03486867,-59.22085222,294.9393735,283.9776416,-127.0266819,-1.635054622,-29.91314546,-89.24174975,0,-53.13127007,-261.9841042,0,-0.002212445,0.00791979,0.02149682,
527.0319996,2058,11.49771537,18.0447994,-10.00665888,-30.12121544,-53.60406041,-2.955700034,-109.8593608,-144.4866104,225.2637999,-5.527436986,-50.36003802,97.44489888,0,115.2784248,522.0203994,0,-0.003043309,0.006403826,0.021355024,
527.0399996,2058,-285.8441519,-34.31210772,-39.11714687,7.265598206,10.89851511,10.26138534,69.40476229,-139.7115192,-297.6728858,-14.77126932,8.992008061,-172.569946,0,-156.1636538,-383.6978105,0,-0.002052567,0.007768252,0.020820639,
