Time:1Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0.0000000000,0,15.0158243423,15.0161214506,15.0161310144,15.0160504829,15.0171989306,15.0163482637,15.0162914679,15.0158854226,15.0125042197,15.0119265151,15.0120474458,15.0118499598,15.0112499963,15.0111733358,15.0111512376,15.0127286715,33553:33554,0.0080001589:0.0320001591,0.0240000000:0.0000000000
0.4959999998,1,15.3900503869,15.3903678005,15.3903752096,15.3902688791,15.3914254351,15.3905778025,15.3905137066,15.3901179593,15.4003453202,15.3997722427,15.3998933392,15.3996897260,15.3990848169,15.3990236122,15.3990123797,15.4005680167,33552:33552:33553:33554,1.0880001590:1.1200001591:1.1760001590:1.1920001591,0.0000000000:0.0000000000:0.0159999998:0.0000000000
0.9919999999,2,14.9717846863,14.9721145120,14.9720902000,14.9719887319,14.9731215056,14.9722873647,14.9722408157,14.9718272718,14.9713647268,14.9708186434,14.9709090046,14.9707036801,14.9700991123,14.9700514512,14.9700503546,14.9715833070,33552:33553:33554,1.5920001590:1.7520001591:1.7680001589,0.0000000000:0.0159999998:0.0000000000
1.4879999999,3,15.2160829876,15.2164143332,15.2163892213,15.2163289899,15.2174517517,15.2166150284,15.2165528512,15.2161500381,15.2208745894,15.2203010942,15.2204240338,15.2202179803,15.2196050665,15.2195540629,15.2195257853,15.2210861999,33552,2.0640001590,0.0000000000
1.9839999999,4,15.2010995149,15.2014222866,15.2014247216,15.2013482485,15.2024769735,15.2016350740,15.2015587007,15.2011706333,15.2065707587,15.2059940572,15.2061337291,15.2059262771,15.2053094362,15.2052612557,15.2052241469,15.2067957737,33552:33553:33554,2.5200001590:2.5200001590:2.5360001591,0.0000000000:0.0159999998:0.0000000000
2.4800000000,5,15.0612090694,15.0615196736,15.0614941679,15.0614406757,15.0625439709,15.0616883930,15.0616550815,15.0612740991,15.0628947316,15.0623201086,15.0624401067,15.0622461343,15.0616167793,15.0615665396,15.0615296615,15.0631057940,33553:33554,3.0160001591:3.0400001591,0.0240000000:0.0000000000
2.9759999998,6,15.1836414449,15.1839472904,15.1839250578,15.1838840121,15.1849750137,15.1841227996,15.1840935984,15.1837184149,15.1884652225,15.1878823906,15.1880076525,15.1878045947,15.1871910854,15.1871397877,15.1871076177,15.1886705111,33552,3.4960001591,0.0000000000
3.4719999998,7,14.9604753987,14.9607737321,14.9607627730,14.9606987077,14.9617981387,14.9609750393,14.9609113757,14.9605240920,14.9641464585,14.9635891203,14.9637035970,14.9634799782,14.9628686981,14.9628379682,14.9628228859,14.9643566162,33553:33554,3.9840001590:3.9920001591,0.0079999999:0.0000000000
3.9679999999,8,15.1688855847,15.1691856074,15.1691647056,15.1691127533,15.1702307511,15.1693770557,15.1693161237,15.1689421728,15.1775111017,15.1769565034,15.1770817100,15.1768740076,15.1762274213,15.1761970269,15.1761638950,15.1777084191,33553:33554:33553:33554,4.2720001591:4.2960001591:4.7040001589:4.7280001591,0.0240000000:0.0000000000:0.0240000000:0.0000000000
4.4639999999,9,15.0771836298,15.0774863166,15.0774792007,15.0774139955,15.0785062169,15.0776800152,15.0776267387,15.0772357819,15.0822406844,15.0817092667,15.0818165968,15.0816133363,15.0809707464,15.0809300732,15.0809011801,15.0824479150,,,
4.9600000000,10,15.1057391140,15.1060485408,15.1060334243,15.1059408579,15.1070488996,15.1062761957,15.1062034510,15.1057903648,15.1100532898,15.1095045262,15.1095986676,15.1093793676,15.1087889527,15.1087235647,15.1087141743,15.1102748084,,,
5.4559999998,11,15.1168024855,15.1171148356,15.1170722499,15.1170040361,15.1181087393,15.1173077079,15.1172848190,15.1168528255,15.1213628769,15.1207987876,15.1209086758,15.1206943836,15.1200790776,15.1200312504,15.1200069484,15.1215653472,33553:33554,6.0000001590:6.0320001591,0.0319999999:0.0000000000
5.9519999998,12,15.0798662136,15.0801908869,15.0801551332,15.0801136898,15.0812262612,15.0803629776,15.0803687977,15.0799269186,15.0845806630,15.0839985218,15.0841235079,15.0839060768,15.0832790202,15.0832400957,15.0832209018,15.0847501038,33552:33553:33554,6.4880001592:6.4880001592:6.5120001591,0.0000000000:0.0240000000:0.0000000000
6.4479999999,13,15.0734832276,15.0738191258,15.0738040393,15.0737547012,15.0748492138,15.0740135887,15.0739802151,15.0735571342,15.0787136510,15.0781519381,15.0782545519,15.0780202664,15.0774367090,15.0773854934,15.0773819366,15.0788940883,33552,6.9760001590,0.0000000000
6.9439999999,14,15.0625906964,15.0629545270,15.0629300031,15.0628653532,15.0639527707,15.0631294123,15.0630728276,15.0626733517,15.0675593587,15.0670136958,15.0671094875,15.0668922894,15.0662939803,15.0662337278,15.0662349147,15.0677371547,33553:33554,7.4640001589:7.4880001592,0.0240000000:0.0000000000
7.4399999999,15,15.1095780580,15.1099326252,15.1098823079,15.1098266923,15.1109264990,15.1101195322,15.1100507101,15.1096450756,15.1136838626,15.1131183039,15.1132344958,15.1130112980,15.1124155123,15.1123436442,15.1123295194,15.1138301372,33552:33553:33554,7.9440001589:7.9440001589:7.9680001591,0.0000000000:0.0240000000:0.0000000000
7.9360000000,16,15.0494004169,15.0497258164,15.0497033145,15.0496538732,15.0507265514,15.0499357742,15.0498606116,15.0494415867,15.0550554693,15.0544839751,15.0546045243,15.0543792279,15.0537811409,15.0537070818,15.0536800013,15.0551942333,33552:33553:33554,8.4320001591:8.4400001590:8.4560001590,0.0000000000:0.0159999998:0.0000000000
8.4319999998,17,15.0670209160,15.0673480748,15.0673450457,15.0672854953,15.0683874522,15.0675490827,15.0675013883,15.0670731332,15.0716999502,15.0711339807,15.0712335460,15.0710243694,15.0704279488,15.0703512845,15.0703443026,15.0718518116,33552,8.9120001590,0.0000000000
8.9279999998,18,15.0488047449,15.0491264671,15.0491040901,15.0490359578,15.0501542357,15.0493136350,15.0492880420,15.0488607141,15.0545664933,15.0540144164,15.0540977710,15.0538832048,15.0532887212,15.0532429144,15.0532121664,15.0547431797,33552:33553:33554,9.5040001590:9.5120001591:9.5360001591,0.0000000000:0.0240000000:0.0000000000
9.4239999999,19,15.0617843906,15.0621036105,15.0621023191,15.0619946588,15.0631076960,15.0622845807,15.0622452180,15.0618416403,15.0662810538,15.0657274136,15.0657915723,15.0655720378,15.0649945932,15.0649380526,15.0649137742,15.0664605831,33552:33553:33554,9.9920001591:9.9920001591:10.0080001589,0.0000000000:0.0159999998:0.0000000000
9.9199999999,20,15.0604930566,15.0608164868,15.0608138268,15.0607114231,15.0618292706,15.0610263392,15.0609462138,15.0605370241,15.0656860705,15.0651294221,15.0652007977,15.0649813343,15.0643887414,15.0643283681,15.0643279547,15.0658505008,33552:33553:33554,10.4640001589:10.4720001591:10.4880001592,0.0000000000:0.0159999998:0.0000000000
10.4160000000,21,15.0551429896,15.0554949286,15.0554669341,15.0554005211,15.0565007778,15.0557102236,15.0556248643,15.0551946108,15.0599041847,15.0593577906,15.0594466407,15.0592433788,15.0586250692,15.0585679494,15.0585491617,15.0600980048,33552:33553:33554,10.9360001590:10.9360001590:10.9600001590,0.0000000000:0.0240000000:0.0000000000
10.9119999998,22,15.0633238485,15.0636674597,15.0636684869,15.0635885552,15.0646666532,15.0638473932,15.0638104013,15.0633669039,15.0682500058,15.0676962282,15.0677848555,15.0675828159,15.0669959793,15.0669280284,15.0668862900,15.0684467891,33552,11.8960001590,0.0000000000
11.4079999998,23,15.0524726916,15.0527715916,15.0528073943,15.0527024846,15.0537938225,15.0529558327,15.0529253152,15.0524983086,15.0574329901,15.0568831627,15.0569813180,15.0567488749,15.0561721937,15.0561246236,15.0560825333,15.0576380865,33553:33554,11.9120001590:11.9360001590,0.0240000000:0.0000000000
11.9039999999,24,15.0577015227,15.0579992441,15.0580340130,15.0579197039,15.0590327896,15.0581926648,15.0581545376,15.0577380714,15.0624475090,15.0618987768,15.0619943849,15.0617556125,15.0611796178,15.0611378883,15.0611064179,15.0626592420,33552:33553:33554,12.3760001590:12.3840001591:12.4080001591,0.0000000000:0.0240000000:0.0000000000
12.3999999999,25,15.0511163109,15.0514234852,15.0514365643,15.0513480063,15.0524391741,15.0516320963,15.0515654490,15.0511515429,15.0561815463,15.0555973650,15.0556970632,15.0554726770,15.0548826125,15.0548418763,15.0548094998,15.0563482616,33552:33553:33554,12.8640001591:12.8640001591:12.8880001591,0.0000000000:0.0240000000:0.0000000000
12.8959999999,26,15.0331418191,15.0334458709,15.0334811893,15.0333936600,15.0344876250,15.0336707858,15.0335950361,15.0332019813,15.0370331052,15.0364747898,15.0365910404,15.0363616274,15.0357677044,15.0357026469,15.0356866809,15.0372121432,33553:33554,13.3680001590:13.3920001590,0.0240000000:0.0000000000
13.3920000000,27,15.0434872740,15.0437827946,15.0438183750,15.0437121494,15.0448330331,15.0439946843,15.0439286645,15.0435335273,15.0480566147,15.0475298560,15.0476275901,15.0474115375,15.0468022560,15.0467567655,15.0467308039,15.0482657732,33552:33553:33554,13.8480001590:13.8480001590:13.8720001590,0.0000000000:0.0240000000:0.0000000000
13.8879999998,28,15.0629148306,15.0632210160,15.0632269740,15.0631227905,15.0642323585,15.0634341159,15.0633658893,15.0629317735,15.0683574313,15.0678343392,15.0679258505,15.0676856449,15.0670841037,15.0670680001,15.0670275241,15.0685701033,33552,14.3280001590,0.0000000000
14.3839999998,29,15.0648509105,15.0651470441,15.0651566436,15.0650767944,15.0661771378,15.0653596854,15.0653046610,15.0648718579,15.0704834582,15.0699416228,15.0700528915,15.0697880708,15.0692090926,15.0691665124,15.0691524123,15.0706711888,33552,14.7920001589,0.0000000000
14.8799999999,30,15.0552262564,15.0554940286,15.0554904915,15.0554388021,15.0565206061,15.0557271924,15.0556489933,15.0552345462,15.0607966380,15.0602108324,15.0603412412,15.0601201724,15.0595162910,15.0594723955,15.0594545768,15.0609614789,33552:33553:33554,15.7200001590:15.7280001591:15.7440001590,0.0000000000:0.0159999998:0.0000000000
15.3759999999,31,15.0490751297,15.0493734759,15.0493598177,15.0492867441,15.0503836655,15.0495890923,15.0495197992,15.0490902246,15.0543793382,15.0538074703,15.0539229883,15.0537300722,15.0531081383,15.0530573543,15.0530353051,15.0545612340,,,
15.8720000000,32,15.0359971524,15.0363116192,15.0363048104,15.0362107509,15.0373174578,15.0365015471,15.0364443454,15.0360281040,15.0404815740,15.0399557849,15.0400202210,15.0398365707,15.0392145068,15.0391480335,15.0391392113,15.0406809197,,,
16.3679999998,33,15.0526049899,15.0529154594,15.0529206356,15.0528214315,15.0539348468,15.0531077363,15.0530568540,15.0526434667,15.0581446972,15.0576193016,15.0576952819,15.0574869470,15.0568923889,15.0568387427,15.0568040332,15.0583391074,33552,16.9840001590,0.0000000000
16.8639999998,34,15.0497667023,15.0501001791,15.0500742546,15.0499909167,15.0511111076,15.0502733837,15.0502275089,15.0497868741,15.0536078239,15.0530750705,15.0531680728,15.0529385170,15.0523766491,15.0523254321,15.0522983740,15.0538074108,33552:33553:33554,17.6240001591:17.6240001591:17.6480001591,0.0000000000:0.0240000000:0.0000000000
