Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
251.7439998,983,720.6296419,0,0,0,-37.00795535,388.5718065,-26.27339575,0,96.26566108,201.6116998,-90.81330105,0,181.6933371,229.9893103,0,0,,,,
251.7519998,983,-1260.28923,0,0,0,-37.15161273,-367.1456231,-26.37004075,0,3.543298138,14.25806129,-91.19734989,0,-82.87812095,-75.85601417,0,0,,,,
251.7599998,983,-165.5737822,0,0,0,-37.29377905,174.8013922,-26.46564791,0,152.5940081,-96.36241362,-91.57761829,0,-39.4176237,-28.80496267,0,0,,,,
251.7679998,983,92.25026246,0,0,0,-37.43445646,67.63030202,-26.56021883,0,6.704527714,269.2721269,-91.9541112,0,176.4178676,214.3768467,0,0,,,,
251.7759998,983,-1425.162171,0,0,0,-37.57364716,-304.7089096,-26.65375511,0,104.395546,-197.8057076,-92.32683367,0,-201.8968489,-219.8125045,0,0,,,,
251.7839998,983,755.1358013,0,0,0,-37.71135337,415.512387,-26.74625837,0,111.23932,212.1925977,-92.69579082,0,195.6041912,235.6697137,0,0,,,,
251.7919998,983,-1255.490642,0,0,0,-37.84757733,-344.9988069,-26.83773027,0,8.446998969,13.9364367,-93.06098786,0,-89.34844725,-86.07546365,0,0,,,,
251.7999998,983,-188.2934239,0,0,0,-37.98232131,206.8262666,-26.92817247,0,158.6632809,-87.49305468,-93.42243005,0,-51.3608565,-36.77325134,0,0,,,,
251.8079998,983,41.46707541,0,0,0,-38.11558762,96.00872333,-27.01758665,0,14.22958428,278.1941462,-93.78012273,0,160.9594722,203.1417644,0,0,,,,
251.8159998,983,-1425.046733,0,0,0,-38.24737858,-265.2116752,-27.10597452,0,104.3098552,-197.6436131,-94.13407134,0,-212.2168183,-226.6588573,0,0,,,,
251.8239998,983,756.463486,0,0,0,-38.37769657,453.7896488,-27.1933378,0,110.1717959,211.3639882,-94.48428135,0,196.1328134,238.7950992,0,0,,,,
251.8319998,983,-1233.743037,0,0,0,-38.50654396,-305.3887194,-27.27967824,0,11.48880388,15.20510507,-94.83075834,0,-80.10441423,-77.23187529,0,0,,,,
251.8399998,983,-122.3997785,0,0,0,-38.63392317,243.680479,-27.3649976,0,154.1359899,-83.93014321,-95.17350793,0,-45.64425212,-24.20258043,0,0,,,,
251.8479998,983,57.09671254,0,0,0,-38.75983665,109.3371729,-27.44929766,0,8.36384181,275.0891346,-95.51253585,0,152.3106861,209.1308303,0,0,,,,
251.8559998,983,-1381.285617,0,0,0,-38.88428685,-232.733729,-27.53258022,0,97.09552725,-197.5421799,-95.84784788,0,-213.6882555,-216.8738898,0,0,,,,
251.8639998,983,827.8997095,0,0,0,-39.00727629,492.2863794,-27.6148471,0,91.97043432,209.8813769,-96.17944985,0,189.4714046,241.5293291,0,0,,,,
251.8719998,983,-1174.603566,0,0,0,-39.12880748,-288.100443,-27.69610013,0,-6.758607882,5.14415934,-96.50734771,0,-101.5554387,-88.03884239,0,0,,,,
251.8799998,983,-49.45569067,0,0,0,-39.24888298,257.609487,-27.77634116,0,139.7868445,-92.6569131,-96.83154743,0,-58.5306568,-32.71944698,0,0,,,,
251.8879998,983,114.5483769,0,0,0,-39.36750537,117.5675468,-27.85557209,0,1.643972812,263.742301,-97.1520551,0,142.888988,195.8023038,0,0,,,,
251.8959998,983,-1300.426867,0,0,0,-39.48467724,-229.2101456,-27.93379479,0,103.1460427,-195.2679728,-97.46887682,0,-215.4727193,-225.3178018,0,0,,,,
251.9039998,984,901.5168728,0,0,0,-39.60040124,483.3276104,-28.01101117,0,96.6038744,215.8737894,-97.78201882,0,185.7737821,234.1620268,0,0,,,,
251.9119998,984,-1118.758712,0,0,0,-39.71468001,-299.1853039,-28.08722317,0,3.099109171,0.96470331,-98.09148736,0,-114.1084702,-100.3105843,0,0,,,,
251.9199998,984,47.20601061,0,0,0,-39.82751625,256.9748631,-28.16243272,0,152.6866009,-83.37829043,-98.39728877,0,-56.13417901,-30.90644027,0,0,,,,
251.9279998,984,219.5340828,0,0,0,-39.93891265,119.7763688,-28.2366418,0,-0.93873721,270.2256958,-98.69942947,0,149.1420811,196.6441762,0,0,,,,
251.9359998,984,-1204.541856,0,0,0,-40.04887197,-227.8369892,-28.30985238,0,98.67546852,-201.2121339,-98.99791593,0,-212.6015054,-228.409051,0,0,,,,
251.9439998,984,957.8403792,0,0,0,-40.15739695,465.4010603,-28.38206646,0,89.26994663,203.4783249,-99.29275469,0,185.9588123,231.4986584,0,0,,,,
251.9519998,984,-1070.196318,0,0,0,-40.26449038,-312.0875488,-28.45328605,0,-4.769098051,-14.87436091,-99.58395236,0,-101.9848317,-105.0450975,0,0,,,,
251.9599998,984,99.92724504,0,0,0,-40.37015508,255.6813734,-28.5235132,0,162.4999634,-92.54861425,-99.87151561,0,-25.37036211,-28.47952371,0,0,,,,
251.9679998,984,256.1181917,0,0,0,-40.47439388,117.9772624,-28.59274995,0,-3.45147781,249.0021013,-100.1554512,0,154.587441,196.6798516,0,0,,,,
251.9759998,984,-1120.698537,0,0,0,-40.57720965,-204.4998301,-28.66099836,0,74.27608716,-222.9564195,-100.4357659,0,-222.3005271,-230.728207,0,0,,,,
251.9839998,984,1020.243737,0,0,0,-40.67860527,489.2867336,-28.72826053,0,80.0347128,198.1303197,-100.7124666,0,185.5352542,229.1056122,0,0,,,,
251.9919998,984,-1017.708827,0,0,0,-40.77858365,-284.43185,-28.79453855,0,-16.59711,-13.95236991,-100.9855602,0,-109.1235883,-104.2910886,0,0,,,,
251.9999998,984,165.2160829,0,0,0,-40.87714772,287.8334103,-28.85983454,0,134.4424906,-80.38410727,-101.2550537,0,-34.99539112,-24.11947461,0,0,,,,
252.0079998,984,258.694025,0,0,0,-40.97430046,125.7878766,-28.92415064,0,-6.933943078,262.7739067,-101.5209542,0,147.1083892,195.7722567,0,0,,,,
