Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
734.6479995,2869,0,112.8025309,3.76E-06,-3.18E-06,0,0,0,0,0,-38.73306306,0,0,0,-3.13E-06,0,0,,,,
734.6559995,2869,0,-352.191601,3.46E-06,-3.15E-06,0,0,0,0,0,51.12709841,0,0,0,-3.10E-06,0,0,,,,
734.6639995,2869,0,130.5768569,3.64E-06,-3.12E-06,0,0,0,0,0,-92.39667278,0,0,0,-3.07E-06,0,0,,,,
734.6719995,2869,0,-128.2379941,3.46E-06,-3.09E-06,0,0,0,0,0,141.3588334,0,0,0,-3.04E-06,0,0,,,,
734.6799995,2869,0,-414.3479475,3.52E-06,-3.06E-06,0,0,0,0,0,-230.4199766,0,0,0,-3.01E-06,0,0,,,,
734.6879995,2869,0,412.3900039,3.44E-06,-3.03E-06,0,0,0,0,0,147.198073,0,0,0,-2.98E-06,0,0,,,,
734.6959995,2869,0,-673.3298905,3.43E-06,-3.00E-06,0,0,0,0,0,-29.37998494,0,0,0,-2.95E-06,0,0,,,,
734.7039995,2869,0,239.4558481,3.39E-06,-2.98E-06,0,0,0,0,0,-140.8210798,0,0,0,-2.92E-06,0,0,,,,
734.7119995,2869,0,-81.49270204,3.36E-06,-2.95E-06,0,0,0,0,0,248.4160187,0,0,0,-2.90E-06,0,0,,,,
734.7199995,2870,0,-445.4275392,3.33E-06,-2.92E-06,0,0,0,0,0,-301.5803122,0,0,0,-2.87E-06,0,0,,,,
734.7279995,2870,0,519.9227796,3.30E-06,-2.89E-06,0,0,0,0,0,194.0209742,0,0,0,9.74E-07,0,0,,,,
734.7359995,2870,0,-723.1650294,3.27E-06,-2.86E-06,0,0,0,0,0,-51.27600405,0,0,0,4.60E-06,0,0,,,,
734.7439995,2870,0,316.0638271,3.24E-06,-2.84E-06,0,0,0,0,0,-140.8887613,0,0,0,3.44E-06,0,0,,,,
734.7519995,2870,0,-102.8770335,3.21E-06,-2.81E-06,0,0,0,0,0,270.5833577,0,0,0,3.51E-06,0,0,,,,
734.7599995,2870,0,-502.0312324,3.18E-06,1.03E-06,0,0,0,0,0,-345.4056648,0,0,0,3.70E-06,0,0,,,,
734.7679995,2870,0,513.560559,3.15E-06,4.66E-06,0,0,0,0,0,206.3016585,0,0,0,3.40E-06,0,0,,,,
734.7759995,2870,0,-806.621684,3.12E-06,3.50E-06,0,0,0,0,0,-70.28890806,0,0,0,3.58E-06,0,0,,,,
734.7839995,2870,0,280.8606379,3.09E-06,3.56E-06,0,0,0,0,0,-161.2049921,0,0,0,3.41E-06,0,0,,,,
734.7919995,2870,0,-129.9524986,3.06E-06,3.76E-06,0,0,0,0,0,274.8636677,0,0,0,3.46E-06,0,0,,,,
734.7999995,2870,0,-547.9170816,3.03E-06,3.46E-06,0,0,0,0,0,-362.5175774,0,0,0,3.38E-06,0,0,,,,
734.8079995,2870,0,519.4037495,3.00E-06,3.64E-06,0,0,0,0,0,198.0399565,0,0,0,3.38E-06,0,0,,,,
734.8159995,2870,0,-823.5737234,2.98E-06,3.46E-06,0,0,0,0,0,-71.04479593,0,0,0,3.33E-06,0,0,,,,
734.8239995,2870,0,248.8098848,2.95E-06,3.52E-06,0,0,0,0,0,-174.7110577,0,0,0,3.31E-06,0,0,,,,
734.8319995,2870,0,-138.6987776,2.92E-06,3.44E-06,0,0,0,0,0,277.1394416,0,0,0,3.28E-06,0,0,,,,
734.8399995,2870,0,-581.8739268,2.89E-06,3.43E-06,0,0,0,0,0,-358.1857799,0,0,0,3.25E-06,0,0,,,,
734.8479995,2870,0,527.3635258,2.86E-06,3.39E-06,0,0,0,0,0,207.4405469,0,0,0,3.22E-06,0,0,,,,
734.8559995,2870,0,-835.878765,2.84E-06,3.36E-06,0,0,0,0,0,-49.06802331,0,0,0,3.19E-06,0,0,,,,
734.8639995,2870,0,190.0308176,2.81E-06,3.33E-06,0,0,0,0,0,-182.0209788,0,0,0,3.16E-06,0,0,,,,
734.8719995,2870,0,-156.3526433,-1.03E-06,3.30E-06,0,0,0,0,0,279.7080936,0,0,0,3.13E-06,0,0,,,,
734.8799995,2870,0,-615.1038241,-4.66E-06,3.27E-06,0,0,0,0,0,-347.9626707,0,0,0,3.10E-06,0,0,,,,
734.8879995,2870,0,528.192726,-3.50E-06,3.24E-06,0,0,0,0,0,208.1931918,0,0,0,3.07E-06,0,0,,,,
734.8959995,2870,0,-820.1969249,-3.56E-06,3.21E-06,0,0,0,0,0,-32.83722403,0,0,0,3.04E-06,0,0,,,,
734.9039995,2870,0,208.0539756,-3.76E-06,3.18E-06,0,0,0,0,0,-168.4727681,0,0,0,3.01E-06,0,0,,,,
734.9119995,2870,0,-97.64403244,-3.46E-06,3.15E-06,0,0,0,0,0,304.7730682,0,0,0,2.98E-06,0,0,,,,
734.9199995,2870,0,-623.3207923,-3.64E-06,3.12E-06,0,0,0,0,0,-340.4744233,0,0,0,2.95E-06,0,0,,,,
734.9279995,2870,0,495.8280291,-3.46E-06,3.09E-06,0,0,0,0,0,190.2096989,0,0,0,2.92E-06,0,0,,,,
734.9359995,2870,0,-877.3897341,-3.52E-06,3.06E-06,0,0,0,0,0,-46.54070372,0,0,0,2.90E-06,0,0,,,,
734.9439995,2870,0,154.2493651,-3.44E-06,3.03E-06,0,0,0,0,0,-183.8166054,0,0,0,2.87E-06,0,0,,,,
734.9519995,2870,0,-80.77941886,-3.43E-06,3.00E-06,0,0,0,0,0,321.4367602,0,0,0,-9.74E-07,0,0,,,,
734.9599995,2870,0,-642.2100189,-3.39E-06,2.98E-06,0,0,0,0,0,-325.9399608,0,0,0,-4.60E-06,0,0,,,,
734.9679995,2870,0,520.4797969,-3.36E-06,2.95E-06,0,0,0,0,0,207.5457496,0,0,0,-3.44E-06,0,0,,,,
734.9759995,2871,0,-831.508163,-3.33E-06,2.92E-06,0,0,0,0,0,-6.839806784,0,0,0,-3.51E-06,0,0,,,,
734.9839995,2871,0,-90.34312774,-3.30E-06,2.89E-06,0,0,0,0,0,-421.2048773,0,0,0,-3.70E-06,0,0,,,,
734.9919995,2871,0,-12.53806656,-3.27E-06,2.86E-06,0,0,0,0,0,126.8578235,0,0,0,-3.40E-06,0,0,,,,
734.9999995,2871,0,-387.9777211,-3.24E-06,2.84E-06,0,0,0,0,0,-30.41149218,0,0,0,-3.58E-06,0,0,,,,
735.0079995,2871,0,93.64015681,-3.21E-06,2.81E-06,0,0,0,0,0,86.4371522,0,0,0,-3.41E-06,0,0,,,,
735.0159995,2871,0,-521.0902669,-3.18E-06,-1.03E-06,0,0,0,0,0,-115.308823,0,0,0,-3.46E-06,0,0,,,,
735.0239995,2871,0,194.2369541,-3.15E-06,-4.66E-06,0,0,0,0,0,71.77612514,0,0,0,-3.38E-06,0,0,,,,
735.0319995,2871,0,-526.6744971,-3.12E-06,-3.50E-06,0,0,0,0,0,22.68589696,0,0,0,-3.38E-06,0,0,,,,
735.0399995,2871,0,-105.4451078,-3.09E-06,-3.56E-06,0,0,0,0,0,-148.4773928,0,0,0,-3.33E-06,0,0,,,,
735.0479995,2871,0,5.698653825,-3.06E-06,-3.76E-06,0,0,0,0,0,246.0092452,0,0,0,-3.31E-06,0,0,,,,
735.0559995,2871,0,-673.2816185,-3.03E-06,-3.46E-06,0,0,0,0,0,-256.1239256,0,0,0,-3.28E-06,0,0,,,,
735.0639995,2871,0,407.0172999,-3.00E-06,-3.64E-06,0,0,0,0,0,133.3085328,0,0,0,-3.25E-06,0,0,,,,
735.0719995,2871,0,-698.2604449,-2.98E-06,-3.46E-06,0,0,0,0,0,34.30475847,0,0,0,-3.22E-06,0,0,,,,
735.0799995,2871,0,4.118934257,-2.95E-06,-3.52E-06,0,0,0,0,0,-192.1779976,0,0,0,-3.19E-06,0,0,,,,
735.0879995,2871,0,-26.04064929,-2.92E-06,-3.44E-06,0,0,0,0,0,306.1057521,0,0,0,-3.16E-06,0,0,,,,
735.0959995,2871,0,-725.0893667,-2.89E-06,-3.43E-06,0,0,0,0,0,-293.2588031,0,0,0,-3.13E-06,0,0,,,,
735.1039995,2871,0,517.2065808,-2.86E-06,-3.39E-06,0,0,0,0,0,163.7076884,0,0,0,-3.10E-06,0,0,,,,
735.1119995,2871,0,-745.1721249,-2.84E-06,-3.36E-06,0,0,0,0,0,48.1665996,0,0,0,-3.07E-06,0,0,,,,
735.1199995,2871,0,84.34084308,-2.81E-06,-3.33E-06,0,0,0,0,0,-533.2462342,0,0,0,-3.04E-06,0,0,,,,
735.1279995,2871,0,525.1063301,1.03E-06,-3.30E-06,0,0,0,0,0,174.9042792,0,0,0,-3.01E-06,0,0,,,,
735.1359995,2871,0,-757.2428972,4.66E-06,-3.27E-06,0,0,0,0,0,105.315879,0,0,0,-2.98E-06,0,0,,,,
735.1439995,2871,0,-57.91310126,3.50E-06,-3.24E-06,0,0,0,0,0,-147.4463991,0,0,0,-2.95E-06,0,0,,,,
735.1519995,2871,0,-13.77407995,3.56E-06,-3.21E-06,0,0,0,0,0,82.23219979,0,0,0,-2.92E-06,0,0,,,,
735.1599995,2871,0,-317.7164656,3.76E-06,-3.18E-06,0,0,0,0,0,115.9424111,0,0,0,-2.90E-06,0,0,,,,
735.1679995,2871,0,-183.5801504,3.46E-06,-3.15E-06,0,0,0,0,0,-146.9653911,0,0,0,-2.87E-06,0,0,,,,
735.1759995,2871,0,96.32254229,3.64E-06,-3.12E-06,0,0,0,0,0,143.8657866,0,0,0,9.74E-07,0,0,,,,
735.1839995,2871,0,-481.4234982,3.46E-06,-3.09E-06,0,0,0,0,0,12.24244944,0,0,0,4.60E-06,0,0,,,,
735.1919995,2871,0,453.4594742,3.52E-06,-3.06E-06,0,0,0,0,0,-308.3654686,0,0,0,3.44E-06,0,0,,,,
735.1999995,2871,0,722.5498849,3.44E-06,-3.03E-06,0,0,0,0,0,328.408301,0,0,0,3.51E-06,0,0,,,,
735.2079995,2871,0,-1095.750981,3.43E-06,-3.00E-06,0,0,0,0,0,16.32236897,0,0,0,3.70E-06,0,0,,,,
735.2159995,2871,0,224.174581,3.39E-06,-2.98E-06,0,0,0,0,0,-172.4454757,0,0,0,3.40E-06,0,0,,,,
735.2239995,2871,0,289.4063895,3.36E-06,-2.95E-06,0,0,0,0,0,314.7112695,0,0,0,3.58E-06,0,0,,,,
735.2319995,2872,0,-754.3598464,3.33E-06,-2.92E-06,0,0,0,0,0,-107.3741495,0,0,0,3.41E-06,0,0,,,,
735.2399995,2872,0,490.7241102,3.30E-06,-2.89E-06,0,0,0,0,0,3.059300909,0,0,0,3.46E-06,0,0,,,,
735.2479995,2872,0,-271.8033262,3.27E-06,-2.86E-06,0,0,0,0,0,245.7087073,0,0,0,3.38E-06,0,0,,,,
735.2559995,2872,0,-317.5833455,3.24E-06,-2.84E-06,0,0,0,0,0,-218.0056588,0,0,0,3.38E-06,0,0,,,,
735.2639995,2872,0,550.255579,3.21E-06,-2.81E-06,0,0,0,0,0,210.8661511,0,0,0,3.33E-06,0,0,,,,
735.2719995,2872,0,-564.8076728,3.18E-06,1.03E-06,0,0,0,0,0,49.89520074,0,0,0,3.31E-06,0,0,,,,
735.2799995,2872,0,328.7002657,3.15E-06,4.66E-06,0,0,0,0,0,-113.1173945,0,0,0,3.28E-06,0,0,,,,
735.2879995,2872,0,144.6843255,3.12E-06,3.50E-06,0,0,0,0,0,351.407991,0,0,0,3.25E-06,0,0,,,,
735.2959995,2872,0,-438.4198983,3.09E-06,3.56E-06,0,0,0,0,0,-222.4676734,0,0,0,3.22E-06,0,0,,,,
735.3039995,2872,0,722.273708,3.06E-06,3.76E-06,0,0,0,0,0,176.9202501,0,0,0,3.19E-06,0,0,,,,
735.3119995,2872,0,-458.2523027,3.03E-06,3.46E-06,0,0,0,0,0,114.4502536,0,0,0,3.16E-06,0,0,,,,
735.3199995,2872,0,264.3763176,3.00E-06,3.64E-06,0,0,0,0,0,-169.2338239,0,0,0,3.13E-06,0,0,,,,
735.3279995,2872,0,277.7980067,2.98E-06,3.46E-06,0,0,0,0,0,380.0604758,0,0,0,3.10E-06,0,0,,,,
735.3359995,2872,0,-550.4782972,2.95E-06,3.52E-06,0,0,0,0,0,-235.5984873,0,0,0,3.07E-06,0,0,,,,
735.3439995,2872,0,743.1056642,2.92E-06,3.44E-06,0,0,0,0,0,163.4031449,0,0,0,3.04E-06,0,0,,,,
735.3519995,2872,0,-465.3353163,2.89E-06,3.43E-06,0,0,0,0,0,136.2348707,0,0,0,3.01E-06,0,0,,,,
735.3599995,2872,0,195.4879657,2.86E-06,3.39E-06,0,0,0,0,0,-193.9563958,0,0,0,2.98E-06,0,0,,,,
735.3679995,2872,0,348.1307723,2.84E-06,3.36E-06,0,0,0,0,0,396.0545458,0,0,0,2.95E-06,0,0,,,,
735.3759995,2872,0,-515.892996,2.81E-06,3.33E-06,0,0,0,0,0,-218.8454242,0,0,0,2.92E-06,0,0,,,,
735.3839995,2872,0,811.0290427,-1.03E-06,3.30E-06,0,0,0,0,0,172.8376846,0,0,0,2.90E-06,0,0,,,,
735.3919995,2872,0,-421.5748971,-4.66E-06,3.27E-06,0,0,0,0,0,146.3152026,0,0,0,2.87E-06,0,0,,,,
735.3999995,2872,0,210.5897627,-3.50E-06,3.24E-06,0,0,0,0,0,-212.415674,0,0,0,-9.74E-07,0,0,,,,
735.4079995,2872,0,425.7582208,-3.56E-06,3.21E-06,0,0,0,0,0,406.9874659,0,0,0,-4.60E-06,0,0,,,,
735.4159995,2872,0,-478.9161482,-3.76E-06,3.18E-06,0,0,0,0,0,-211.9243299,0,0,0,-3.44E-06,0,0,,,,
735.4239995,2872,0,872.6698473,-3.46E-06,3.15E-06,0,0,0,0,0,164.7243007,0,0,0,-3.51E-06,0,0,,,,
