Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
557.3199996,2177,-225.8945562,-258.2550879,349.8510138,371.5209344,-133.3666347,18.59869869,-146.4614061,-123.5789554,53.95038356,-270.088338,-8.308502943,-805.0661238,-7.772995478,-60.5363683,238.465758,119.9219171,,,,
557.3279996,2177,-88.97902769,-144.1150468,280.6674555,363.6565201,-150.2965112,18.21824969,-256.1922666,-100.6501527,82.50021497,-25.95845737,132.7303422,49.49980937,-15.9865358,-23.17835144,99.97118898,74.84521779,,,,
557.3359996,2177,-361.0388692,-358.4149817,300.3889193,327.8576048,-89.86925829,9.485272583,50.72523453,-102.498213,45.29204429,-214.9516484,7.678311441,-311.3700994,6.493242142,-59.42523619,177.895186,108.6071256,,,,
557.3439996,2177,-66.99186349,-138.7745153,323.2913043,377.8446482,-162.8555363,10.83915339,-329.488566,-108.9873416,72.02274791,-161.911025,49.01180945,-542.3311975,-19.79392878,-48.48033227,194.862755,91.72732397,,,,
557.3519996,2177,-270.5789397,-276.2927674,269.3257228,329.0548944,-96.1898185,22.42684719,-8.120660605,-74.34167191,57.26237442,-71.30377902,87.72053536,193.9855125,1.57060625,-38.14095519,111.2558096,89.12210613,,,,
557.3599996,2177,-224.7555895,-254.9914901,344.832646,372.4934319,-127.6782811,21.95694309,-129.0209803,-98.15330251,49.48112264,-284.4132035,-14.28834978,-831.5084936,1.573034386,-63.42127794,243.1391954,123.020426,,,,
557.3679996,2177,-82.75809971,-129.069101,280.6858376,370.1266247,-139.8004822,33.61578586,-234.0024807,-70.987155,87.29701031,-28.06050461,129.1584924,-26.67232059,-3.596385416,-18.60344409,108.6905344,84.92577275,,,,
557.3759996,2177,-353.5540629,-344.6000738,308.1672424,337.545634,-85.20356541,26.58586909,75.32279807,-79.31828124,51.66593136,-198.9877032,8.696741353,-386.1799842,13.45675789,-47.11690721,187.2011963,125.8130002,,,,
557.3839996,2177,-60.1897924,-135.5486767,328.3898353,386.8094044,-166.5136897,14.19254132,-319.123351,-99.81221225,74.3589493,-152.4835044,49.94902174,-645.0174593,-17.03037816,-37.59537648,195.1655776,100.9100733,,,,
557.3919996,2177,-260.4475849,-272.103851,268.222054,328.6363299,-95.45596811,19.16271938,-4.535830606,-72.12491283,58.27554124,-59.76665298,89.67117976,99.83516882,5.386487539,-32.82020004,101.4889133,86.35355347,,,,
557.3999996,2177,-218.1887476,-255.3808404,341.4988154,356.6942779,-128.7294636,13.76361641,-127.1537969,-109.5593407,49.74092207,-271.7039243,-18.64277886,-917.6135046,-1.201965853,-63.70571589,232.9907063,120.3132326,,,,
