Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Pre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
P1-P2-Pre2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
P3-P4-Pre1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P3-P4-Pre2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P9-P10-Pre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Pre2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12-P11-Pre1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
P12-P11-Pre2,0,0,0,0,0,0,0,0,0,1,10,0,1,0,5,0
P14-P13-Pre1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,25,19
P14-P13-Pre2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,29,16
P16-P15-Pre1,30,0,6,0,0,4,0,0,0,0,27,0,0,0,9,8
P16-P15-Pre2,19,0,2,0,1,0,1,0,0,0,18,0,0,1,23,0
P20-P19-Pre1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
P20-P19-Pre2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
P22-P21-Pre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22-P21-Pre2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
