Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
P1-P2-Tr2,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0
P1-P2-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
P1-P2-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
P3-P4-Tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3-P4-Tr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3-P4-Tr3,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,11
P3-P4-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Tr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Tr1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0
P11-P12-Tr2,0,0,0,0,0,2,1,0,0,0,8,0,2,0,42,0
P11-P12-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0
P11-P12-Tr4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0
P13-P14-Tr1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0
P13-P14-Tr2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,44,6
P13-P14-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
P13-P14-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
P15-P16-Tr1,32,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0
P15-P16-Tr2,34,0,4,0,0,0,0,0,0,0,24,0,0,0,5,14
P15-P16-Tr3,14,0,2,0,1,0,1,0,0,0,11,0,0,0,26,0
P15-P16-Tr4,32,0,29,0,46,2,18,4,1,0,28,0,0,2,61,4
P19-P20-Tr1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
P19-P20-Tr2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
P19-P20-Tr3,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0
P19-P20-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
