Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Post1,0,0,8,104,0,0,0,0,0,0,10,99,0,0,104,94
P1-P2-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Post1,0,0,0,0,0,172,0,0,0,0,0,172,0,0,0,0
P11-P12-Post2,0,0,0,0,0,102,0,0,0,0,0,102,0,0,0,0
P15-P16-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15-P16-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19-P20-Post1,0,0,0,0,1,0,0,0,0,0,0,170,0,16,0,1
P19-P20-Post2,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,1
P21-P22-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
