Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Pre1,0,0,0,168,0,0,42,0,0,0,54,168,0,0,168,168
P1-P2-Pre2,0,0,0,163,16,0,15,0,0,0,47,163,0,0,156,84
P9-P10-Pre1,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0
P9-P10-Pre2,0,0,0,0,1,0,0,0,0,0,0,161,0,0,0,0
P11-P12-Pre1,0,0,0,0,0,180,0,0,0,0,0,180,0,0,0,0
P11-P12-Pre2,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0
P15-P16-Pre1,0,0,156,0,78,3,0,0,0,11,0,0,10,48,7,5
P15-P16-Pre2,0,0,0,0,1,0,5,118,0,9,0,0,21,0,48,116
P17-P18-Pre1,140,0,140,0,140,140,140,0,0,0,140,140,140,0,140,140
P17-P18-Pre2,42,0,43,0,37,41,0,0,0,0,36,36,36,0,38,40
P19-P20-Pre1,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0
P19-P20-Pre2,0,0,0,0,0,0,23,0,0,0,37,0,0,0,0,0
P21-P22-Pre1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Pre2,174,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0
