Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Tr1,0,0,0,91,16,0,17,0,0,0,40,91,0,0,91,0
P1-P2-Tr2,0,0,0,20,8,0,17,0,0,0,42,50,0,0,154,60
P1-P2-Tr3,0,0,0,44,4,0,7,0,0,0,40,44,0,1,44,44
P1-P2-Tr4,0,0,0,158,2,0,9,0,0,0,43,158,0,0,158,158
P9-P10-Tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P9-P10-Tr2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
P9-P10-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Tr1,0,0,0,0,0,119,0,0,0,0,0,118,0,0,0,0
P11-P12-Tr2,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0
P11-P12-Tr3,0,0,2,0,0,180,0,0,0,0,0,180,0,0,0,0
P11-P12-Tr4,0,0,1,0,0,95,0,0,0,0,0,180,0,0,0,0
P15-P16-Tr1,0,0,163,0,144,0,0,0,0,30,0,0,0,0,0,163
P15-P16-Tr2,0,0,38,0,61,0,38,37,0,23,0,0,0,1,37,36
P15-P16-Tr3,0,0,173,0,80,0,66,171,0,36,0,0,7,28,173,172
P15-P16-Tr4,5,0,166,0,145,0,119,140,0,13,0,0,5,9,171,99
P17-P18-Tr1,140,0,140,0,140,140,0,0,0,0,140,140,140,0,140,140
P17-P18-Tr2,141,0,141,0,141,141,0,0,0,0,141,141,141,0,141,141
P17-P18-Tr3,141,0,141,0,141,141,0,0,0,0,141,141,141,0,141,141
P17-P18-Tr4,141,0,141,0,141,141,0,0,0,0,141,141,141,0,141,141
P19-P20-Tr1,0,0,0,0,0,0,26,0,0,0,35,0,0,0,0,0
P19-P20-Tr2,0,0,0,0,1,0,18,0,0,0,39,0,0,0,0,0
P19-P20-Tr3,0,0,0,0,0,0,6,0,0,0,24,0,0,0,0,0
P19-P20-Tr4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
P21-P22-Tr1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
P21-P22-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
