Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Pre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1-P2-Pre2,0,0,0,0,0,0,2,0,0,1,26,2,0,0,11,0
P9-P10-Pre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0
P9-P10-Pre2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0
P11-P12-Pre1,0,0,176,0,176,0,0,0,0,0,0,176,0,0,0,0
P11-P12-Pre2,0,0,176,0,176,0,0,0,0,0,0,176,0,2,0,0
P15-P16-Pre1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15-P16-Pre2,0,9,1,0,0,0,0,0,0,0,1,1,0,0,0,1
P17-P18-Pre1,173,0,173,173,173,173,173,173,0,0,0,0,0,0,173,0
P17-P18-Pre2,0,0,1,0,17,0,51,56,0,1,0,0,0,0,0,0
P19-P20-Pre1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
P19-P20-Pre2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
P21-P22-Pre1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0
P21-P22-Pre2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
