Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Tr1,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0
P1-P2-Tr2,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0
P1-P2-Tr3,0,0,0,0,0,0,8,0,0,0,10,1,0,0,1,0
P1-P2-Tr4,0,0,0,0,0,0,19,0,0,0,11,1,0,0,18,0
P9-P10-Tr1,0,0,0,161,95,0,0,0,0,0,0,0,0,0,178,0
P9-P10-Tr2,0,0,0,74,0,0,0,0,0,0,0,0,0,0,178,0
P9-P10-Tr3,0,0,0,178,0,0,1,0,0,0,0,0,0,0,178,0
P9-P10-Tr4,0,0,0,143,0,0,0,0,0,0,0,1,0,0,178,0
P11-P12-Tr1,0,0,171,0,2,0,0,0,0,0,1,80,0,2,0,0
P11-P12-Tr2,0,0,122,6,122,0,5,0,0,0,0,119,0,0,0,0
P11-P12-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Tr4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P15-P16-Tr1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0
P15-P16-Tr2,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,3
P15-P16-Tr3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0
P15-P16-Tr4,0,8,0,0,0,0,0,0,0,0,0,17,0,0,0,1
P17-P18-Tr1,0,0,0,0,173,0,0,173,0,0,0,0,0,0,173,173
P17-P18-Tr2,0,0,0,0,104,0,38,38,0,2,0,0,0,0,173,1
P17-P18-Tr3,0,0,0,0,171,0,64,71,0,2,0,0,0,0,171,0
P17-P18-Tr4,0,0,0,0,170,0,170,170,0,0,0,0,0,0,170,0
P19-P20-Tr1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
P19-P20-Tr2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
P19-P20-Tr3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
P19-P20-Tr4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P21-P22-Tr1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
P21-P22-Tr2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
P21-P22-Tr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Tr4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
